,Year_Site,Year_JulianDay_Site,Year_Round_Site,Site,Year_Round,Year,Year_JulianDay,HabitatType,Round,Flwr_Rich,Flwr_cov_perc,Bee_rich,Bee_abun,Abun_BB,Abun_SB,Notes,JulianDay,SumDD5,Treatment,YearMA,Treatment_Year,BterrAbun,BBAbun_notBterr,Blap,BBAbun_notBlap,LandscapeFlwrCov,LastYearAvgLFC,CumulativeLFC,LastYearCumulativeLFC
443,2018_W20,2018_192_W20,2018_3_W20,W20,2018_3,2018,2018_192,Water Retention Site,3,11,0.318615113,1,3,3,0,,192,1248.9,MA,2020,MA_2020,0,3,0,3,0.156009514,NA,14.34204324,NA
449,2018_W22,2018_192_W22,2018_3_W22,W22,2018_3,2018,2018_192,Water Retention Site,3,9,0.381660813,1,4,4,0,,192,1248.9,CIL,NA,CIL_NA,0,4,0,4,0.017990003,NA,2.712401345,NA
5,2018_CF10,2018_193_CF10,2018_3_CF10,CF10,2018_3,2018,2018_193,Field Margin,3,3,0.031285747,0,0,0,0,,193,1264.2,COL,NA,COL_NA,0,0,0,0,0.138325532,NA,8.503532986,NA
11,2018_CF13,2018_193_CF13,2018_3_CF13,CF13,2018_3,2018,2018_193,Field Margin,3,4,0.036748333,1,1,0,1,,193,1264.2,COL,NA,COL_NA,0,0,0,0,0.019935209,NA,1.012136,NA
76,2018_CP6,2018_193_CP6,2018_3_CP6,CP6,2018_3,2018,2018_193,Pasture,3,3,0.0062121,0,0,0,0,,193,1264.2,COL,NA,COL_NA,0,0,0,0,0.07614716,NA,9.935920742,NA
91,2018_CR10,2018_193_CR10,2018_3_CR10,CR10,2018_3,2018,2018_193,Road Verge,3,12,0.101835207,0,0,0,0,,193,1264.2,COL,NA,COL_NA,0,0,0,0,0.01424617,NA,1.910444364,NA
112,2018_CR8,2018_193_CR8,2018_3_CR8,CR8,2018_3,2018,2018_193,Road Verge,3,10,0.181656525,1,1,0,1,,193,1264.2,COL,NA,COL_NA,0,0,0,0,0.016608707,NA,1.045847937,NA
115,2018_CR9,2018_193_CR9,2018_3_CR9,CR9,2018_3,2018,2018_193,Road Verge,3,13,1.211467901,3,3,3,0,,193,1264.2,COL,NA,COL_NA,2,1,0,3,0.024747493,NA,2.444760046,NA
133,2018_CW5,2018_193_CW5,2018_3_CW5,CW5,2018_3,2018,2018_193,Water Retention Site,3,13,2.521710859,3,21,8,13,,193,1264.2,COL,NA,COL_NA,0,8,6,2,0.021726767,NA,1.226567278,NA
142,2018_CW9,2018_193_CW9,2018_3_CW9,CW9,2018_3,2018,2018_193,Water Retention Site,3,1,0.00106026,0,0,0,0,,193,1264.2,COL,NA,COL_NA,0,0,0,0,0.027569612,NA,1.582540656,NA
147,2018_F10,2018_193_F10,2018_3_F10,F10,2018_3,2018,2018_193,Field Margin,3,3,0.88356344,0,0,0,0,,193,1264.2,CIL,NA,CIL_NA,0,0,0,0,0.017759302,NA,2.219163803,NA
204,2018_F9,2018_193_F9,2018_3_F9,F9,2018_3,2018,2018_193,Field Margin,3,1,0.0553219,0,0,0,0,,193,1264.2,CIL,NA,CIL_NA,0,0,0,0,0.028465235,NA,1.781487117,NA
321,2018_R10,2018_193_R10,2018_3_R10,R10,2018_3,2018,2018_193,Road Verge,3,6,0.508136275,0,0,0,0,,193,1264.2,CIL,NA,CIL_NA,0,0,0,0,0.006407199,NA,0.284023738,NA
366,2018_R6,2018_193_R6,2018_3_R6,R6,2018_3,2018,2018_193,Road Verge,3,9,2.56630044,1,1,1,0,,193,1264.2,MA,2020,MA_2020,0,1,0,1,0.056924784,NA,11.14263294,NA
375,2018_R9,2018_193_R9,2018_3_R9,R9,2018_3,2018,2018_193,Road Verge,3,9,0.244711027,1,1,1,0,,193,1264.2,CIL,NA,CIL_NA,0,1,0,1,0.00793859,NA,0.374496529,NA
404,2018_S9,2018_193_S9,2018_3_S9,S9,2018_3,2018,2018_193,Species Rich Grassland,3,19,4.832669614,9,44,30,14,,193,1264.2,CIL,NA,CIL_NA,2,28,24,6,0.548943509,NA,31.73595303,NA
182,2018_F21,2018_198_F21,2018_3_F21,F21,2018_3,2018,2018_198,Field Margin,3,5,0.025616553,6,6,1,5,,198,1348.6,CIL,NA,CIL_NA,1,0,0,1,0.303955933,NA,25.58797437,NA
270,2018_P16,2018_198_P16,2018_3_P16,P16,2018_3,2018,2018_198,Pasture,3,10,0.210858133,7,25,9,16,,198,1348.6,CIL,NA,CIL_NA,0,9,8,1,0.078698579,NA,5.905848039,NA
273,2018_P17,2018_198_P17,2018_3_P17,P17,2018_3,2018,2018_198,Pasture,3,8,0.112390425,4,9,7,2,,198,1348.6,CIL,NA,CIL_NA,0,7,5,2,0.257007017,NA,21.55164829,NA
297,2018_P24,2018_198_P24,2018_3_P24,P24,2018_3,2018,2018_198,Pasture,3,8,0.05277132,0,0,0,0,,198,1348.6,MA,2020,MA_2020,0,0,0,0,0.321627199,NA,27.05789089,NA
369,2018_R7,2018_198_R7,2018_3_R7,R7,2018_3,2018,2018_198,Road Verge,3,9,0.07559662,3,5,1,4,,198,1348.6,MA,2020,MA_2020,0,1,0,1,0.206514363,NA,17.3225311,NA
401,2018_S8,2018_198_S8,2018_3_S8,S8,2018_3,2018,2018_198,Species Rich Grassland,3,18,0.579475047,10,30,24,6,,198,1348.6,CIL,NA,CIL_NA,4,20,14,10,0.322861211,NA,27.17225734,NA
34,2018_CH1,2018_199_CH1,2018_3_CH1,CH1,2018_3,2018,2018_199,Hedge,3,0,0,0,0,0,0,not in bee or flower sheet,199,1364.1,COL,NA,COL_NA,0,0,0,0,0.016238018,NA,2.328892114,NA
37,2018_CH2,2018_199_CH2,2018_3_CH2,CH2,2018_3,2018,2018_199,Hedge,3,2,0.044694523,1,1,0,1,,199,1364.1,COL,NA,COL_NA,0,0,0,0,0.019277319,NA,3.547385257,NA
40,2018_CH4,2018_199_CH4,2018_3_CH4,CH4,2018_3,2018,2018_199,Hedge,3,3,0.052213002,0,0,0,0,,199,1364.1,COL,NA,COL_NA,0,0,0,0,0.016776131,NA,2.585835502,NA
49,2018_CH7,2018_199_CH7,2018_3_CH7,CH7,2018_3,2018,2018_199,Hedge,3,2,0.008820667,2,3,3,0,,199,1364.1,COL,NA,COL_NA,1,2,0,3,0.086356078,NA,10.96511143,NA
52,2018_CH8,2018_199_CH8,2018_3_CH8,CH8,2018_3,2018,2018_199,Hedge,3,1,0.000440667,0,0,0,0,,199,1364.1,COL,NA,COL_NA,0,0,0,0,0.09881933,NA,13.64291874,NA
55,2018_CH9,2018_199_CH9,2018_3_CH9,CH9,2018_3,2018,2018_199,Hedge,3,2,0.02877,3,3,2,1,,199,1364.1,COL,NA,COL_NA,1,1,0,2,0.00910763,NA,0.637235001,NA
124,2018_CW11,2018_201_CW11,2018_3_CW11,CW11,2018_3,2018,2018_201,Water Retention Site,3,13,0.216498859,7,18,9,9,,201,1397.2,COL,NA,COL_NA,2,7,3,6,0.019093575,NA,1.215496702,NA
255,2018_P1,2018_201_P1,2018_3_P1,P1,2018_3,2018,2018_201,Pasture,3,10,0.414607887,3,6,2,4,,201,1397.2,CIL,NA,CIL_NA,0,2,0,2,0.229775472,NA,27.17870822,NA
258,2018_P10,2018_201_P10,2018_3_P10,P10,2018_3,2018,2018_201,Pasture,3,8,0.038679747,2,3,2,1,,201,1397.2,MA,2020,MA_2020,0,2,2,0,0.01619941,NA,2.033780587,NA
267,2018_P14,2018_201_P14,2018_3_P14,P14,2018_3,2018,2018_201,Pasture,3,18,0.07127732,7,11,5,6,,201,1397.2,CIL,NA,CIL_NA,0,5,3,2,0.267760532,NA,27.47719054,NA
279,2018_P19,2018_201_P19,2018_3_P19,P19,2018_3,2018,2018_201,Pasture,3,12,0.401320998,7,12,7,5,,201,1397.2,CIL,NA,CIL_NA,1,6,1,6,0.143721638,NA,18.61768727,NA
395,2018_S6,2018_201_S6,2018_3_S6,S6,2018_3,2018,2018_201,Species Rich Grassland,3,13,0.29789644,12,30,17,13,,201,1397.2,CIL,NA,CIL_NA,1,16,5,12,0.156859532,NA,17.35403992,NA
398,2018_S7,2018_201_S7,2018_3_S7,S7,2018_3,2018,2018_201,Species Rich Grassland,3,10,1.504784329,12,21,5,16,,201,1397.2,CIL,NA,CIL_NA,0,5,4,1,0.162373682,NA,17.0336393,NA
467,2018_W8,2018_201_W8,2018_3_W8,W8,2018_3,2018,2018_201,Water Retention Site,3,11,0.383750861,11,47,30,17,,201,1397.2,CIL,NA,CIL_NA,16,14,6,24,0.012561315,NA,1.28797995,NA
19,2018_CF5,2018_203_CF5,2018_3_CF5,CF5,2018_3,2018,2018_203,Field Margin,3,6,0.150104611,3,3,1,2,,203,1431.1,COL,NA,COL_NA,0,1,0,1,0.025221337,NA,4.863633392,NA
31,2018_CF9,2018_203_CF9,2018_3_CF9,CF9,2018_3,2018,2018_203,Field Margin,3,2,0.0743264,7,13,8,5,,203,1431.1,COL,NA,COL_NA,7,1,1,7,0.016782191,NA,3.908788474,NA
61,2018_CP10,2018_203_CP10,2018_3_CP10,CP10,2018_3,2018,2018_203,Pasture,3,5,0.01620312,2,2,0,2,,203,1431.1,COL,NA,COL_NA,0,0,0,0,0.216814645,NA,24.63900891,NA
136,2018_CW7,2018_203_CW7,2018_3_CW7,CW7,2018_3,2018,2018_203,Water Retention Site,3,7,0.109653133,6,12,3,9,,203,1431.1,COL,NA,COL_NA,0,3,1,2,0.035501247,NA,3.699930763,NA
198,2018_F7,2018_203_F7,2018_3_F7,F7,2018_3,2018,2018_203,Field Margin,3,0,0,1,2,0,2,assumed flowers are 0,203,1431.1,MA,2020,MA_2020,0,0,0,0,0.068566505,NA,14.47819855,NA
264,2018_P12,2018_203_P12,2018_3_P12,P12,2018_3,2018,2018_203,Pasture,3,7,0.483223534,0,0,0,0,,203,1431.1,CIL,NA,CIL_NA,0,0,0,0,0.173473733,NA,24.89791473,NA
285,2018_P20,2018_203_P20,2018_3_P20,P20,2018_3,2018,2018_203,Pasture,3,6,0.0321273,2,2,1,1,,203,1431.1,MA,2020,MA_2020,0,1,1,0,0.074803226,NA,15.0741091,NA
339,2018_R16,2018_203_R16,2018_3_R16,R16,2018_3,2018,2018_203,Road Verge,3,18,0.769107728,9,38,31,7,,203,1431.1,MA,2020,MA_2020,6,25,12,19,0.064522766,NA,5.423960996,NA
43,2018_CH5,2018_204_CH5,2018_3_CH5,CH5,2018_3,2018,2018_204,Hedge,3,1,0.00167552,0,0,0,0,,204,1449.6,COL,NA,COL_NA,0,0,0,0,0.015989469,NA,1.151009868,NA
46,2018_CH6,2018_204_CH6,2018_3_CH6,CH6,2018_3,2018,2018_204,Hedge,3,8,0.163377917,3,5,2,3,,204,1449.6,COL,NA,COL_NA,0,2,0,2,0.016571068,NA,1.485589906,NA
58,2018_CP1,2018_204_CP1,2018_3_CP1,CP1,2018_3,2018,2018_204,Pasture,3,13,0.12454318,7,33,20,13,,204,1449.6,COL,NA,COL_NA,2,18,11,9,0.065918007,NA,10.35342734,NA
64,2018_CP2,2018_204_CP2,2018_3_CP2,CP2,2018_3,2018,2018_204,Pasture,3,7,0.042016727,3,3,2,1,,204,1449.6,COL,NA,COL_NA,0,2,1,1,0.053615361,NA,9.781477545,NA
85,2018_CP9,2018_204_CP9,2018_3_CP9,CP9,2018_3,2018,2018_204,Pasture,3,9,0.077257633,5,17,9,8,,204,1449.6,COL,NA,COL_NA,2,7,7,2,0.01973125,NA,1.526953497,NA
130,2018_CW4,2018_204_CW4,2018_3_CW4,CW4,2018_3,2018,2018_204,Water Retention Site,3,3,0.003780287,1,1,0,1,,204,1449.6,COL,NA,COL_NA,0,0,0,0,0.012913674,NA,1.269592426,NA
207,2018_H1,2018_204_H1,2018_3_H1,H1,2018_3,2018,2018_204,Hedge,3,5,0.036421101,4,5,1,4,,204,1449.6,CIL,NA,CIL_NA,0,1,0,1,0.128894924,NA,19.78116645,NA
213,2018_H11,2018_204_H11,2018_3_H11,H11,2018_3,2018,2018_204,Hedge,3,0,0,0,0,0,0,not in bee or flower sheet,204,1449.6,MA,2020,MA_2020,0,0,0,0,0.100176378,NA,14.17733316,NA
216,2018_H12,2018_204_H12,2018_3_H12,H12,2018_3,2018,2018_204,Hedge,3,1,0.001122473,1,1,1,0,,204,1449.6,CIL,NA,CIL_NA,0,1,0,1,0.011163729,NA,1.225791651,NA
219,2018_H13,2018_204_H13,2018_3_H13,H13,2018_3,2018,2018_204,Hedge,3,2,0.055838702,0,0,0,0,,204,1449.6,MA,2020,MA_2020,0,0,0,0,0.018492708,NA,1.543205232,NA
222,2018_H14,2018_204_H14,2018_3_H14,H14,2018_3,2018,2018_204,Hedge,3,1,0.004602,1,3,3,0,,204,1449.6,CIL,NA,CIL_NA,0,3,0,3,0.041850036,NA,4.93951446,NA
225,2018_H15,2018_204_H15,2018_3_H15,H15,2018_3,2018,2018_204,Hedge,3,5,0.005065593,2,3,3,0,,204,1449.6,MA,2020,MA_2020,0,3,0,3,0.013277526,NA,0.822689001,NA
228,2018_H16,2018_204_H16,2018_3_H16,H16,2018_3,2018,2018_204,Hedge,3,1,0.037501751,0,0,0,0,,204,1449.6,MA,2020,MA_2020,0,0,0,0,0.18689874,NA,22.91710408,NA
231,2018_H2,2018_204_H2,2018_3_H2,H2,2018_3,2018,2018_204,Hedge,3,2,0.032155036,0,0,0,0,,204,1449.6,CIL,NA,CIL_NA,0,0,0,0,0.010452614,NA,0.941932582,NA
234,2018_H3,2018_204_H3,2018_3_H3,H3,2018_3,2018,2018_204,Hedge,3,1,0.00035342,0,0,0,0,,204,1449.6,MA,2020,MA_2020,0,0,0,0,0.012919983,NA,1.524686878,NA
237,2018_H4,2018_204_H4,2018_3_H4,H4,2018_3,2018,2018_204,Hedge,3,2,0.001116,0,0,0,0,,204,1449.6,CIL,NA,CIL_NA,0,0,0,0,0.08262971,NA,13.12291067,NA
240,2018_H5,2018_204_H5,2018_3_H5,H5,2018_3,2018,2018_204,Hedge,3,2,0.016176,1,4,4,0,,204,1449.6,MA,2020,MA_2020,0,4,0,4,0.034040364,NA,8.143917358,NA
246,2018_H7,2018_204_H7,2018_3_H7,H7,2018_3,2018,2018_204,Hedge,3,5,0.293107564,1,1,0,1,,204,1449.6,CIL,NA,CIL_NA,0,0,0,0,0.014879248,NA,3.200609393,NA
252,2018_H9,2018_204_H9,2018_3_H9,H9,2018_3,2018,2018_204,Hedge,3,4,0.056907526,0,0,0,0,,204,1449.6,MA,2020,MA_2020,0,0,0,0,0.072398302,NA,18.25355642,NA
300,2018_P4,2018_204_P4,2018_3_P4,P4,2018_3,2018,2018_204,Pasture,3,8,0.01647218,0,0,0,0,,204,1449.6,CIL,NA,CIL_NA,0,0,0,0,0.296896738,NA,32.41413069,NA
309,2018_P7,2018_204_P7,2018_3_P7,P7,2018_3,2018,2018_204,Pasture,3,8,0.138674555,3,5,4,1,,204,1449.6,CIL,NA,CIL_NA,0,4,3,1,0.020895219,NA,4.682765677,NA
210,2018_H10,2018_205_H10,2018_3_H10,H10,2018_3,2018,2018_205,Hedge,3,0,0,0,0,0,0,not in bee or flower sheet,205,1470.7,MA,2020,MA_2020,0,0,0,0,0.044064284,NA,8.5426693,NA
243,2018_H6,2018_205_H6,2018_3_H6,H6,2018_3,2018,2018_205,Hedge,3,0,0,1,1,0,1,assumed flowers are 0,205,1470.7,CIL,NA,CIL_NA,0,0,0,0,0.084941567,NA,18.04894321,NA
249,2018_H8,2018_205_H8,2018_3_H8,H8,2018_3,2018,2018_205,Hedge,3,0,0,0,0,0,0,not in bee or flower sheet,205,1470.7,CIL,NA,CIL_NA,0,0,0,0,0.081586818,NA,12.10774335,NA
519,2019_CH7,2019_116_CH7,2019_1_CH7,CH7,2019_1,2019,2019_116,Hedge,1,7,0.303638667,1,1,1,0,,116,328.9,COL,NA,COL_NA,1,0,0,1,0.095073091,NA,0.095073091,11.29902282
522,2019_CH8,2019_116_CH8,2019_1_CH8,CH8,2019_1,2019,2019_116,Hedge,1,4,0.006112407,0,0,0,0,,116,328.9,COL,NA,COL_NA,0,0,0,0,0.125137111,NA,0.125137111,14.0213653
685,2019_H10,2019_116_H10,2019_1_H10,H10,2019_1,2019,2019_116,Hedge,1,7,0.025576253,2,3,1,2,,116,328.9,MA,2020,MA_2020,1,0,0,1,0.10179338,NA,0.10179338,8.542669301
694,2019_H13,2019_116_H13,2019_1_H13,H13,2019_1,2019,2019_116,Hedge,1,3,0.190666667,8,18,3,8,,116,328.9,MA,2020,MA_2020,1,2,0,3,0.031423007,NA,0.031423007,1.561697942
699,2019_H15,2019_116_H15,2019_1_H15,H15,2019_1,2019,2019_116,Hedge,1,4,0.017472,0,0,0,0,,116,328.9,MA,2020,MA_2020,0,0,0,0,0.021705004,NA,0.021705004,0.83596653
724,2019_H8,2019_116_H8,2019_1_H8,H8,2019_1,2019,2019_116,Hedge,1,1,0.002773333,1,2,0,2,,116,328.9,CIL,NA,CIL_NA,0,0,0,0,0.12120657,NA,0.12120657,12.10774335
733,2019_P10,2019_119_P10,2019_1_P10,P10,2019_1,2019,2019_119,Pasture,1,9,0.352323113,8,17,0,17,,119,342.6,MA,2020,MA_2020,0,0,0,0,0.032409978,NA,0.064819956,2.080755292
765,2019_P22,2019_119_P22,2019_1_P22,P22,2019_1,2019,2019_119,Pasture,1,7,0.22340592,5,8,0,8,,119,342.6,CIL,NA,CIL_NA,0,0,0,0,0.061078151,NA,0.122156302,5.339097484
883,2019_W1,2019_119_W1,2019_1_W1,W1,2019_1,2019,2019_119,Water Retention Site,1,13,0.25572598,13,18,0,18,,119,342.6,MA,2020,MA_2020,0,0,0,0,0.139061932,NA,0.278123864,12.44330315
836,2019_R4,2019_120_R4,2019_1_R4,R4,2019_1,2019,2019_120,Road Verge,1,12,0.295745627,6,15,4,11,,120,349,MA,2020,MA_2020,0,4,1,3,0.234530146,NA,0.703590438,28.91410477
856,2019_S10,2019_120_S10,2019_1_S10,S10,2019_1,2019,2019_120,Species Rich Grassland,1,14,0.08358778,8,10,1,9,,120,349,CIL,NA,CIL_NA,0,1,1,0,0.129340242,NA,0.388020726,17.66318322
879,2019_S9,2019_120_S9,2019_1_S9,S9,2019_1,2019,2019_120,Species Rich Grassland,1,6,0.047663407,8,15,0,15,,120,349,CIL,NA,CIL_NA,0,0,0,0,0.202072398,NA,0.606217197,33.8270512
927,2019_W3,2019_120_W3,2019_1_W3,W3,2019_1,2019,2019_120,Water Retention Site,1,17,0.4627406,13,15,1,14,,120,349,MA,2020,MA_2020,1,0,0,1,0.244670391,NA,0.734011173,29.86079478
777,2019_P5,2019_121_P5,2019_1_P5,P5,2019_1,2019,2019_121,Pasture,1,8,0.577181613,7,14,1,13,,121,354,CIL,NA,CIL_NA,0,1,1,0,0.155559805,NA,0.62223922,18.56340337
842,2019_R6,2019_121_R6,2019_1_R6,R6,2019_1,2019,2019_121,Road Verge,1,11,2.552743773,10,23,10,13,,121,354,MA,2020,MA_2020,2,8,0,10,0.124630965,NA,0.498523856,11.42908306
506,2019_CH1,2019_129_CH1,2019_1_CH1,CH1,2019_1,2019,2019_129,Hedge,1,3,0.3959206,0,0,0,0,,129,380.2,COL,NA,COL_NA,0,0,0,0,0.02318121,NA,0.160895726,2.389914979
511,2019_CH4,2019_129_CH4,2019_1_CH4,CH4,2019_1,2019,2019_129,Hedge,1,5,0.1773558,2,2,1,1,,129,380.2,COL,NA,COL_NA,0,1,0,1,0.025498052,NA,0.1671803,2.64856164
525,2019_CH9,2019_129_CH9,2019_1_CH9,CH9,2019_1,2019,2019_129,Hedge,1,4,0.074905333,5,15,1,3,,129,380.2,COL,NA,COL_NA,0,1,0,1,0.00682893,NA,0.07277219,0.673665521
720,2019_H7,2019_129_H7,2019_1_H7,H7,2019_1,2019,2019_129,Hedge,1,8,0.019821687,2,2,2,0,,129,380.2,CIL,NA,CIL_NA,0,2,1,1,0.030419878,NA,0.181534502,3.215488641
831,2019_R3,2019_129_R3,2019_1_R3,R3,2019_1,2019,2019_129,Road Verge,1,14,0.848743273,3,5,5,0,,129,380.2,CIL,NA,CIL_NA,2,3,1,4,0.116111439,NA,0.665134187,13.50787178
608,2019_CW7,2019_130_CW7,2019_1_CW7,CW7,2019_1,2019,2019_130,Water Retention Site,1,21,0.353866413,13,27,2,25,,130,386.1,COL,NA,COL_NA,1,1,0,2,0.027264271,NA,0.207195034,3.770933257
688,2019_H11,2019_130_H11,2019_1_H11,H11,2019_1,2019,2019_130,Hedge,1,4,0.014677533,3,3,0,2,,130,386.1,MA,2020,MA_2020,0,0,0,0,0.108805368,NA,0.708355244,14.27750954
704,2019_H16,2019_130_H16,2019_1_H16,H16,2019_1,2019,2019_130,Hedge,1,6,0.0174852,3,3,1,2,,130,386.1,MA,2020,MA_2020,0,1,0,1,0.159407465,NA,1.01241419,23.10400282
713,2019_H4,2019_130_H4,2019_1_H4,H4,2019_1,2019,2019_130,Hedge,1,6,0.02622306,3,6,4,1,,130,386.1,CIL,NA,CIL_NA,0,4,0,4,0.106265796,NA,0.692677392,13.20554038
715,2019_H5,2019_130_H5,2019_1_H5,H5,2019_1,2019,2019_130,Hedge,1,1,0.000192,0,0,0,0,,130,386.1,MA,2020,MA_2020,0,0,0,0,0.077287828,NA,0.520936728,8.177957721
764,2019_P21,2019_130_P21,2019_1_P21,P21,2019_1,2019,2019_130,Pasture,1,9,0.652124867,7,8,2,6,,130,386.1,CIL,NA,CIL_NA,1,1,0,2,0.03598663,NA,0.264357224,3.751219443
665,2019_F4,2019_133_F4,2019_1_F4,F4,2019_1,2019,2019_133,Field Margin,1,10,0.069198893,4,4,0,4,,133,400.9,MA,2021,MA_2021,0,0,0,0,0.015171748,0.048892271,0.167672732,1.807990779
666,2019_F5,2019_133_F5,2019_1_F5,F5,2019_1,2019,2019_133,Field Margin,1,11,0.04802716,4,4,1,3,,133,400.9,MA,2021,MA_2021,0,1,0,1,0.027721285,0.140012774,0.350561289,4.780573114
670,2019_F6,2019_133_F6,2019_1_F6,F6,2019_1,2019,2019_133,Field Margin,1,9,0.010759407,1,1,0,1,,133,400.9,CIL,NA,CIL_NA,0,0,0,0,0.069350395,0.313669833,0.632436521,9.930725721
757,2019_P2,2019_133_P2,2019_1_P2,P2,2019_1,2019,2019_133,Pasture,1,6,0.09776052,5,9,1,8,,133,400.9,CIL,NA,CIL_NA,0,1,0,1,0.042770259,0.235028732,0.518870856,7.718090687
500,2019_CF8,2019_134_CF8,2019_1_CF8,CF8,2019_1,2019,2019_134,Field Margin,1,14,0.73771538,5,8,7,1,,134,406.1,COL,NA,COL_NA,1,6,3,4,0.082594948,0.329969763,0.636161608,9.797197392
581,2019_CR7,2019_134_CR7,2019_1_CR7,CR7,2019_1,2019,2019_134,Road Verge,1,10,0.044198773,0,0,0,0,,134,406.1,COL,NA,COL_NA,0,0,0,0,0.012499457,0.023002767,0.119486342,0.831197674
591,2019_CW10,2019_134_CW10,2019_1_CW10,CW10,2019_1,2019,2019_134,Water Retention Site,1,22,0.5627154,8,12,6,6,,134,406.1,COL,NA,COL_NA,2,4,4,2,0.072576509,0.267057674,0.562096042,8.027678647
785,2019_P7,2019_134_P7,2019_1_P7,P7,2019_1,2019,2019_134,Pasture,1,10,0.48191218,2,6,6,0,,134,406.1,CIL,NA,CIL_NA,4,2,0,6,0.024674076,0.139864759,0.352983472,4.703660891
815,2019_R16,2019_134_R16,2019_1_R16,R16,2019_1,2019,2019_134,Road Verge,1,0,0,1,1,1,0,assumed flowers are 0,134,406.1,MA,2020,MA_2020,0,1,0,1,0.063973358,0.178542988,0.460661538,5.55300653
822,2019_R19,2019_134_R19,2019_1_R19,R19,2019_1,2019,2019_134,Road Verge,1,15,0.974280647,4,6,0,6,,134,406.1,CIL,NA,CIL_NA,0,0,0,0,0.112177754,0.596297112,1.31636213,19.0953693
826,2019_R2,2019_134_R2,2019_1_R2,R2,2019_1,2019,2019_134,Road Verge,1,13,0.184896013,1,2,2,0,,134,406.1,MA,2020,MA_2020,0,2,0,2,0.116329543,0.66384653,1.504144354,21.47238712
853,2019_S1,2019_134_S1,2019_1_S1,S1,2019_1,2019,2019_134,Species Rich Grassland,1,20,0.282728293,4,8,7,1,,134,406.1,CIL,NA,CIL_NA,5,2,1,6,0.110200195,0.581589849,1.284842216,18.61690596
921,2019_W21,2019_134_W21,2019_1_W21,W21,2019_1,2019,2019_134,Water Retention Site,1,12,0.22798378,2,2,1,1,,134,406.1,MA,2020,MA_2020,1,0,0,1,0.032069238,0.122487872,0.396023854,4.285727047
543,2019_CP5,2019_135_CP5,2019_1_CP5,CP5,2019_1,2019,2019_135,Pasture,1,4,0.00534132,1,1,1,0,,135,412,COL,NA,COL_NA,1,0,0,1,0.130384809,0.439677607,0.947692457,12.68356768
547,2019_CP6,2019_135_CP6,2019_1_CP6,CP6,2019_1,2019,2019_135,Pasture,1,9,0.1627295,2,2,1,1,,135,412,COL,NA,COL_NA,0,1,0,1,0.106061545,0.315843224,0.853206785,10.29024798
563,2019_CR10,2019_135_CR10,2019_1_CR10,CR10,2019_1,2019,2019_135,Road Verge,1,17,0.136233833,3,3,0,3,,135,412,COL,NA,COL_NA,0,0,0,0,0.021870599,0.05905668,0.192865749,1.984633734
609,2019_CW8,2019_135_CW8,2019_1_CW8,CW8,2019_1,2019,2019_135,Water Retention Site,1,13,0.05848512,1,1,1,0,,135,412,COL,NA,COL_NA,0,1,0,1,0.086962556,0.279260949,0.69436264,8.268910365
612,2019_CW9,2019_135_CW9,2019_1_CW9,CW9,2019_1,2019,2019_135,Water Retention Site,1,9,0.011115107,0,0,0,0,,135,412,COL,NA,COL_NA,0,0,0,0,0.022594763,0.052394747,0.240075169,1.716364869
532,2019_CP10,2019_136_CP10,2019_1_CP10,CP10,2019_1,2019,2019_136,Pasture,1,7,0.780757353,0,0,0,0,,136,418.3,COL,NA,COL_NA,0,0,0,0,0.255951537,0.868201023,2.003644636,25.07263821
672,2019_F7,2019_136_F7,2019_1_F7,F7,2019_1,2019,2019_136,Field Margin,1,0,0,0,0,0,0,,136,418.3,MA,2020,MA_2020,0,0,0,0,0.144648247,0.451607273,1.307456932,14.61533156
752,2019_P18,2019_136_P18,2019_1_P18,P18,2019_1,2019,2019_136,Pasture,1,9,0.657437087,3,3,0,3,,136,418.3,MA,2020,MA_2020,0,0,0,0,0.169757105,0.541305923,1.482529284,17.00141389
817,2019_R17,2019_136_R17,2019_1_R17,R17,2019_1,2019,2019_136,Road Verge,1,9,0.106932727,0,0,0,0,,136,418.3,CIL,NA,CIL_NA,0,0,0,0,0.105672607,0.315894407,0.971826944,10.33943705
828,2019_R20,2019_136_R20,2019_1_R20,R20,2019_1,2019,2019_136,Road Verge,1,19,3.923986007,7,23,10,13,,136,418.3,CIL,NA,CIL_NA,2,8,6,4,0.108519798,0.33738561,0.941689704,10.52595114
508,2019_CH2,2019_138_CH2,2019_1_CH2,CH2,2019_1,2019,2019_138,Hedge,1,2,0.00269,1,1,1,0,,138,432.7,COL,NA,COL_NA,0,1,0,1,0.037443265,0.108235465,0.394057001,3.617985124
515,2019_CH5,2019_138_CH5,2019_1_CH5,CH5,2019_1,2019,2019_138,Hedge,1,7,0.01061,3,3,2,1,,138,432.7,COL,NA,COL_NA,1,1,0,2,0.021269888,0.028188753,0.23967846,1.166999338
518,2019_CH6,2019_138_CH6,2019_1_CH6,CH6,2019_1,2019,2019_138,Hedge,1,9,0.02541982,0,0,0,0,,138,432.7,COL,NA,COL_NA,0,0,0,0,0.025171808,0.0394279,0.263177582,1.502160973
683,2019_H1,2019_138_H1,2019_1_H1,H1,2019_1,2019,2019_138,Hedge,1,12,0.08592414,1,4,4,0,,138,432.7,CIL,NA,CIL_NA,0,4,0,4,0.199932887,0.654481531,1.894630425,19.91006138
